,고용수,실업자,취포자,date
2014. 01,669197.0,891,237,2014. 01
2014. 02,650135.0,1176,267,2014. 02
2014. 03,955479.0,1026,333,2014. 03
2014. 04,723979.0,1033,370,2014. 04
2014. 05,681462.0,955,426,2014. 05
2014. 06,692831.0,953,402,2014. 06
2014. 07,675475.0,914,455,2014. 07
2014. 08,644529.0,894,455,2014. 08
2014. 09,709392.0,851,464,2014. 09
2014. 10,673268.0,861,429,2014. 10
2014. 11,648212.0,822,426,2014. 11
2014. 12,638787.0,888,466,2014. 12
2015. 01,673795.0,988,490,2015. 01
2015. 02,584175.0,1200,456,2015. 02
2015. 03,941915.0,1074,427,2015. 03
2015. 04,708327.0,1051,395,2015. 04
2015. 05,679667.0,1022,413,2015. 05
2015. 06,663290.0,1048,440,2015. 06
2015. 07,687546.0,998,486,2015. 07
2015. 08,676075.0,925,538,2015. 08
2015. 09,779912.0,867,487,2015. 09
2015. 10,714373.0,840,470,2015. 10
2015. 11,687585.0,829,456,2015. 11
2015. 12,719507.0,867,501,2015. 12
2016. 01,652668.0,985,518,2016. 01
2016. 02,592815.0,1309,475,2016. 02
2016. 03,941660.0,1153,431,2016. 03
2016. 04,675876.0,1074,414,2016. 04
2016. 05,653694.0,1004,422,2016. 05
2016. 06,655902.0,1002,421,2016. 06
2016. 07,639354.0,973,447,2016. 07
2016. 08,656722.0,994,422,2016. 08
2016. 09,716635.0,983,414,2016. 09
2016. 10,662490.0,920,448,2016. 10
2016. 11,656252.0,851,464,2016. 11
2016. 12,623355.0,864,498,2016. 12
2017. 01,647200.0,1008,587,2017. 01
2017. 02,706118.0,1342,497,2017. 02
2017. 03,1036689.0,1137,466,2017. 03
2017. 04,778563.0,1167,417,2017. 04
2017. 05,757695.0,995,498,2017. 05
2017. 06,698851.0,1061,445,2017. 06
2017. 07,748429.0,958,483,2017. 07
2017. 08,724658.0,999,482,2017. 08
2017. 09,807981.0,932,482,2017. 09
2017. 10,683030.0,894,479,2017. 10
2017. 11,745581.0,871,450,2017. 11
2017. 12,707927.0,913,485,2017. 12
2018. 01,798897.0,1020,553,2018. 01
2018. 02,672853.0,1265,542,2018. 02
2018. 03,1071229.0,1257,475,2018. 03
2018. 04,879553.0,1161,458,2018. 04
2018. 05,874358.0,1121,466,2018. 05
2018. 06,873596.0,1034,511,2018. 06
2018. 07,846780.0,1039,546,2018. 07
2018. 08,833580.0,1133,533,2018. 08
2018. 09,851452.0,1024,556,2018. 09
2018. 10,833284.0,973,526,2018. 10
2018. 11,842901.0,909,535,2018. 11
2018. 12,765267.0,944,588,2018. 12
2019. 01,792833.0,1224,605,2019. 01
2019. 02,647507.0,1303,583,2019. 02
2019. 03,1037723.0,1197,538,2019. 03
2019. 04,843034.0,1245,487,2019. 04
2019. 05,791919.0,1145,538,2019. 05
2019. 06,771005.0,1137,514,2019. 06
2019. 07,812561.0,1097,526,2019. 07
2019. 08,748981.0,858,542,2019. 08
2019. 09,774435.0,884,532,2019. 09
2019. 10,740101.0,864,504,2019. 10
2019. 11,730576.0,866,487,2019. 11
2019. 12,671839.0,942,534,2019. 12
2020. 01,787694.0,1153,542,2020. 01
2020. 02,704956.0,1153,535,2020. 02
2020. 03,888407.0,1180,582,2020. 03
